iter	RMSE
0	62.07280011
1	61.73410772
2	61.39554356
3	61.05619091
4	60.72270447
5	60.38793283
6	60.05667703
7	59.72966457
8	59.40136497
9	59.07513892
10	58.75012955
11	58.42920652
12	58.10802637
13	57.79033013
14	57.47413776
15	57.16070113
16	56.85067007
17	56.54200999
18	56.23260773
19	55.92617511
20	55.62164668
21	55.31872128
22	55.0185432
23	54.71935731
24	54.42112944
25	54.12582769
26	53.83134062
27	53.53986632
28	53.24856995
29	52.9594772
30	52.67310226
31	52.38754932
32	52.10310784
33	51.82133368
34	51.54306265
35	51.26541905
36	50.98790815
37	50.71153904
38	50.43990015
39	50.16677394
40	49.89875392
41	49.63118817
42	49.36573249
43	49.10122033
44	48.83721433
45	48.57521209
46	48.31272054
47	48.05333909
48	47.7968385
49	47.53968915
50	47.28502153
51	47.03198793
52	46.78007742
53	46.53154178
54	46.28250355
55	46.0353877
56	45.78880881
57	45.54438458
58	45.30262664
59	45.06107092
60	44.82224787
61	44.58573091
62	44.3491304
63	44.1121058
64	43.87657992
65	43.64337874
66	43.41305411
67	43.18199733
68	42.95234546
69	42.7239806
70	42.4977968
71	42.27220873
72	42.0491713
73	41.82639721
74	41.60590116
75	41.38534393
76	41.16704172
77	40.9503322
78	40.73529096
79	40.52025788
80	40.30996199
81	40.09822898
82	39.88682615
83	39.67978447
84	39.47170873
85	39.26420379
86	39.0607212
87	38.85540495
88	38.65103615
89	38.45188399
90	38.25099494
91	38.0518555
92	37.85375051
93	37.65526407
94	37.4603915
95	37.266064
96	37.0723764
97	36.8786987
98	36.68518887
99	36.49454662
100	36.30639885
101	36.11798049
102	35.93056805
103	35.74576227
104	35.56029617
105	35.37574421
106	35.19081434
107	35.0090807
108	34.82846015
109	34.64906113
110	34.47017524
111	34.29476089
112	34.11835705
113	33.94194064
114	33.76665274
115	33.5937201
116	33.42289781
117	33.25429932
118	33.08515933
119	32.91429065
120	32.74587548
121	32.57712454
122	32.41140823
123	32.24681932
124	32.08252866
125	31.91910128
126	31.75582432
127	31.59453082
128	31.43463558
129	31.27530496
130	31.11753271
131	30.95922888
132	30.80138171
133	30.64538582
134	30.49025773
135	30.33512473
136	30.18252409
137	30.03051237
138	29.88000972
139	29.73000805
140	29.5811906
141	29.4347032
142	29.28834713
