iter	Passed	Remaining
0	5	56168
1	10	52270
2	14	49096
3	19	48327
4	26	52963
5	31	52420
6	36	51795
7	41	51681
8	46	51716
9	51	51646
10	56	51035
11	63	53139
12	68	52593
13	73	52184
14	78	52246
15	83	52079
16	88	51798
17	95	53154
18	100	52748
19	105	52556
20	109	52122
21	114	52123
22	120	52212
23	127	53203
24	132	53027
25	137	52817
26	143	52847
27	147	52663
28	152	52436
29	159	53042
30	164	52864
31	169	52680
32	173	52519
33	178	52321
34	183	52155
35	190	52609
36	194	52454
37	199	52321
38	204	52161
39	209	52098
40	214	51986
41	219	51950
42	226	52450
43	231	52280
44	235	52101
45	240	52059
46	245	51997
47	251	52064
48	258	52411
49	263	52438
50	269	52528
51	274	52458
52	279	52373
53	283	52214
54	290	52513
55	295	52435
56	299	52312
57	304	52237
58	309	52122
59	314	52052
60	321	52387
61	325	52230
62	330	52193
63	335	52138
64	341	52130
65	346	52171
66	353	52411
67	358	52358
68	363	52369
69	368	52223
70	372	52140
71	377	52063
72	382	51987
73	389	52249
74	395	52401
75	401	52384
76	406	52390
77	411	52373
78	416	52261
79	423	52544
80	428	52531
81	433	52470
82	438	52392
83	443	52372
84	448	52328
85	455	52526
86	461	52538
87	465	52469
88	470	52432
89	475	52325
90	480	52321
91	487	52540
92	494	52669
93	499	52591
94	504	52549
95	508	52498
96	514	52480
97	521	52685
98	527	52742
99	532	52716
100	537	52727
101	561	54515
102	566	54477
103	571	54408
104	576	54321
105	583	54468
106	588	54407
107	593	54331
108	598	54287
109	603	54233
110	608	54167
111	612	54069
112	620	54257
113	625	54252
114	630	54161
115	635	54159
116	641	54185
117	650	54473
118	655	54422
119	660	54392
120	665	54345
121	670	54305
122	676	54332
123	683	54470
124	689	54460
125	694	54404
126	699	54372
127	704	54321
128	709	54267
129	716	54362
130	720	54265
131	725	54215
132	731	54234
133	736	54258
134	742	54224
135	749	54338
136	754	54305
137	758	54233
138	763	54169
139	767	54080
140	772	54048
141	777	53990
142	785	54119
143	790	54088
144	794	54027
145	799	53991
146	804	53925
147	808	53852
148	817	54022
149	821	53972
150	826	53903
151	831	53871
152	836	53815
153	841	53772
154	848	53865
155	852	53808
156	857	53765
157	862	53718
158	867	53671
159	871	53617
160	876	53581
161	884	53705
162	889	53673
163	894	53656
164	899	53595
165	903	53551
166	909	53548
167	916	53637
168	921	53617
169	926	53583
170	931	53559
171	937	53560
172	942	53551
173	950	53678
174	955	53640
175	960	53609
176	966	53621
177	971	53591
178	976	53549
179	983	53633
180	988	53625
181	993	53584
182	998	53539
183	1002	53499
184	1008	53493
185	1015	53591
186	1020	53559
187	1026	53566
188	1030	53519
189	1036	53495
190	1041	53470
191	1048	53554
192	1054	53565
193	1059	53542
194	1064	53507
195	1068	53468
196	1074	53456
197	1081	53557
198	1087	53549
199	1092	53524
200	1097	53484
201	1101	53444
202	1106	53415
203	1113	53478
204	1118	53459
205	1123	53410
206	1128	53394
207	1133	53347
208	1138	53336
209	1146	53430
210	1151	53424
211	1157	53426
212	1161	53389
213	1166	53357
214	1171	53332
215	1178	53400
216	1184	53383
217	1188	53341
218	1192	53280
219	1197	53234
220	1202	53194
221	1209	53258
222	1214	53241
223	1219	53215
224	1224	53197
225	1228	53150
226	1234	53138
227	1241	53229
228	1246	53190
229	1251	53178
230	1257	53184
231	1262	53159
232	1267	53135
233	1274	53189
234	1279	53164
235	1284	53145
236	1288	53089
237	1293	53050
